Energy,Entropy,Overlap
-12.071213762225442,0.34650366842101865,5.564995301850259e-6
-11.10302208154807,0.9203205829191873,7.354817083082667e-5
-10.967805311841882,0.8373020600759905,4.288320941234787e-34
-10.96780531184188,1.0323826827082496,1.0863448592559252e-33
-10.657271685008801,0.9382811300264219,4.81482486096809e-35
-10.657271685008777,1.01151503168275,3.033527741506028e-33
-10.304725009153586,0.9754968764645252,1.0299211304164554e-33
-10.30472500915358,1.0362340459706776,2.0481813568727538e-34
-10.076321115252666,1.1190522159303258,0.0004445411777687928
-9.9853525463489,1.0285746971902505,3.979753674143937e-34
-9.985352546348892,1.021348566368981,2.644862289350147e-34
-9.94345441848253,0.17514807186625386,2.9459903975542318e-58
-9.876776471615422,1.5471673510537607,3.009265538105056e-34
-9.876776471615422,1.4518729373739825,1.04752533381437e-32
-9.838818854616108,1.5750378550617443,7.703719777548943e-34
-9.838818854616106,1.5229072800454646,1.88079096131566e-35
-9.740682863434895,1.0760173614444404,5.085658759397545e-34
-9.74068286343489,1.0634445172667497,4.231779662960235e-35
-9.69864988514202,1.5514282325752222,4.7429313222741244e-5
-9.619482585666514,1.6008204122402252,1.3270861023043297e-33
-9.619482585666509,1.6146507993301618,5.435485878202257e-35
-9.61501989106578,1.4647984295254641,2.7083389842945504e-35
-9.615019891065774,1.4724386931064255,3.009265538105056e-36
-9.602244502338007,1.174303686355507,3.4277415269977904e-35
-9.602244502338007,1.1259773752136188,2.2386114417059643e-34
-9.441752732541996,1.5646796158790406,3.846029436794393e-33
-9.441752732541984,1.6659894705020426,7.946341811558664e-36
-9.369223705734022,1.6429380759298173,1.0299211304164554e-33
-9.369223705734015,1.6113585299671,5.6893926579798715e-36
-9.227873067014276,1.7186090755186454,1.58174519846647e-34
-9.227873067014261,1.701392504349283,2.0481813568727538e-34
-9.185882472021204,1.8776759867614552,6.32698079386588e-34
-9.185882472021202,1.8694040125051945,1.4483265896481404e-34
-9.172102185165837,1.6054460303856166,6.741192216993575e-6
-9.069024252761102,1.6836415758431587,1.5919014696575746e-33
-9.069024252761094,1.6840174346654186,1.910913004055481e-36
-8.970666743949375,1.2428717949624686,0.0018544840168298793
-8.933692576851428,1.9176694745237874,1.1197477067288913e-32
-8.933692576851405,1.9065185355020153,1.4745401136714774e-34
-8.928922976621653,0.7382401282591693,2.6482151853435294e-58
-8.887348007131637,1.7265389183140973,5.383293929025748e-34
-8.887348007131635,1.7437101724988244,1.925929944387236e-34
-8.885794240423907,2.018370982285235,9.150165576235768e-34
-8.8857942404239,2.018931273927022,7.52316384526264e-35
-8.807046178457773,0.8505960695944248,8.452263367332675e-59
-8.801218289452576,1.706836001944361,7.229760455297397e-34
-8.801218289452573,1.6811193532231163,1.4564845204428471e-33
-8.76209400034322,1.7633063790174859,1.222984322595508e-34
-8.762094000343216,1.7135259925138966,4.345379437023701e-33
-8.706477050930983,1.9375615921946971,7.229760455297397e-34
-8.706477050930978,1.9371291093710628,1.88079096131566e-37
-8.68226862991808,1.8308039117630965,6.770847460736376e-34
-8.682268629918074,1.8262240163929355,2.2964927835404538e-33
-8.641995098460587,0.7996463902319304,1.496586936841456e-60
-8.639598553536912,1.952277139667904,1.925929944387236e-34
-8.639598553536906,1.9275660867150293,5.89816045468591e-34
-8.633022273763967,1.9389454030316675,8.88967602809355e-34
-8.63302227376396,1.9278552754321725,3.6412113011071178e-34
-8.619542981147603,1.9528765792694878,7.703719777548943e-34
-8.619542981147598,1.9577599474689265,6.093762714662738e-35
-8.597550013858255,2.0736912081307732,1.5303250807174203e-33
-8.597550013858255,2.0719814302858657,3.009265538105056e-36
-8.56785734026168,1.6519526002424652,4.687504614528979e-8
-8.566720319049411,1.8278701841907883,1.842592096891339e-32
-8.56672031904941,1.8051858916415897,2.2263750157116446e-31
-8.55685864289691,2.0971707081600712,0.0003605285837862808
-8.554482004327665,1.9644362289268429,3.262650398390905e-32
-8.554482004327664,1.9619044624847761,3.3019636314598056e-35
-8.551941351011882,1.9498814067104262,2.2263750157116446e-31
-8.551941351011878,1.9702799330035266,7.712418435745028e-35
-8.548139110841033,1.8101167588438105,1.0561824088977946e-33
