Energy,Entropy,Overlap
-11.10302208154807,0.9203205829191873,7.354817083082667e-5
-10.076321115252666,1.1190522159303258,0.0004445411777687928
-8.970666743949375,1.2428717949624686,0.0018544840168298793
-7.793828250560659,1.3576438286029777,0.006004450293925712
-6.562629958712137,1.4467692722551475,0.015645937436146732
-5.291691414091194,1.5112420534599036,0.03336189272257465
-3.9919385142976838,1.5585125771702193,0.05893484347275581
-2.672092951313282,1.5920889935157694,0.08822158774233052
-1.3391844234604477,1.6012120980345668,0.11130351914372626
1.3391844234604195,1.6012120980346431,0.11130351914370708
2.6720929513132585,1.5920889935157752,0.08822158774232257
3.9919385142976735,1.5585125771702282,0.05893484347275459
5.291691414091177,1.511242053459902,0.03336189272257364
6.5626299587121215,1.4467692722551455,0.015645937436146496
7.7938282505606375,1.3576438286029786,0.006004450293925826
8.970666743949351,1.242871794962465,0.0018544840168299164
10.07632111525264,1.1190522159303218,0.00044454117776880186
11.103022081548056,0.9203205829191884,7.354817083082729e-5
